"Id","Imp_Innov","Imp_ConstCom","Imp_CreatCom","Imp_TimelyInf","Imp_SaveMT","Imp_SaveML","Imp_TaskMgm","Imp_DeviceSt","Imp_Photo","Imp_Wellness","Imp_Athlete","Imp_Style","WTP","iPhone","CompBuy","FB_Insta","Twit","Snap","YouTube","Pod_radio","TV","NewsP","AmznP","Age","Degree","Income","Occupation","Gender"
16,3,6,6,3,3,4,6,4,2,3,3,5,210,"iPhone","Yes","Yes","Yes","No","No","No","Yes","No","Yes",47,"Master’s degree or higher","$71k – $100k","Engineering","Male"
17,7,7,1,6,2,4,3,6,1,4,3,3,240,"iPhone","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",45,"Master’s degree or higher","$71k – $100k","Financial services","Female"
18,4,5,5,4,2,1,5,1,1,2,1,4,200,"iPhone","No","Yes","No","No","Yes","No","Yes","Yes","No",32,"Undergraduate degree","< $40k","Advertising/public relations","Male"
19,4,4,4,3,4,6,4,6,2,5,6,6,170,"iPhone","No","Yes","No","Yes","No","No","Yes","No","Yes",30,"Undergraduate degree","$40k - $70k","Health services","Male"
20,4,4,7,5,6,5,4,1,2,2,4,4,180,"other smartphone","No","Yes","Yes","No","Yes","Yes","No","Yes","No",32,"Undergraduate degree","< $40k","Advertising/public relations","Male"
21,6,7,7,5,5,7,6,4,4,6,6,6,220,"iPhone","No","Yes","No","No","No","No","Yes","Yes","Yes",33,"Undergraduate degree","> $175k","Health services","Female"
22,3,3,3,3,4,2,6,2,3,5,5,4,290,"other smartphone","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No",41,"Undergraduate degree","< $40k","Health services","Male"
23,4,5,5,2,5,4,6,2,4,5,5,3,210,"iPhone","No","Yes","Yes","No","Yes","No","Yes","No","No",45,"Undergraduate degree","< $40k","Financial services","Female"
24,4,7,2,7,3,4,6,4,1,3,2,4,240,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",37,"Master’s degree or higher","$71k – $100k","Advertising/public relations","Female"
25,4,1,6,3,4,4,5,3,4,2,4,3,160,"iPhone","No","No","No","No","Yes","No","Yes","No","No",41,"Undergraduate degree","$40k - $70k","Retailing/services/restaurant","Female"
26,4,1,1,6,4,7,2,5,3,5,6,6,190,"iPhone","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes",26,"Master’s degree or higher","$101k - $175k","Health services","Female"
27,3,6,3,4,3,5,6,3,3,3,4,5,200,"iPhone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No",45,"Master’s degree or higher","$71k – $100k","Financial services","Female"
28,7,7,2,7,2,5,5,7,1,3,1,3,320,"iPhone","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No",39,"Master’s degree or higher","> $175k","Financial services","Male"
29,4,7,3,7,3,4,6,4,1,5,3,5,220,"iPhone","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No",43,"Undergraduate degree","$71k – $100k","Financial services","Male"
30,4,6,7,4,3,5,4,4,1,6,6,6,280,"iPhone","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",34,"Undergraduate degree","$101k - $175k","Health services","Female"
31,3,4,4,4,3,4,4,3,1,3,3,4,190,"iPhone","No","No","No","No","Yes","No","Yes","No","No",42,"Undergraduate degree","$40k - $70k","Retailing/services/restaurant","Female"
32,6,3,7,7,4,6,6,4,1,7,5,6,220,"iPhone","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes",34,"Master’s degree or higher","$101k - $175k","Health services","Female"
33,3,6,4,5,3,4,7,4,1,6,4,6,240,"iPhone","No","Yes","Yes","No","No","Yes","No","Yes","Yes",31,"Master’s degree or higher","> $175k","Health services","Female"
34,4,2,4,5,3,5,2,4,3,5,6,4,220,"other smartphone","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",27,"Master’s degree or higher","$71k – $100k","Health services","Male"
35,4,6,7,3,5,4,3,3,4,5,6,4,200,"other smartphone","No","Yes","No","No","Yes","No","Yes","Yes","No",35,"Undergraduate degree","< $40k","Advertising/public relations","Male"
36,5,4,6,4,5,4,1,4,5,4,5,4,170,"other smartphone","No","Yes","No","No","Yes","No","Yes","No","No",40,"Master’s degree or higher","$101k - $175k","Engineering","Female"
37,7,6,2,7,3,3,5,4,3,2,2,3,180,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",44,"Undergraduate degree","> $175k","Financial services","Male"
38,4,6,7,7,5,6,4,3,3,6,6,6,170,"iPhone","No","Yes","No","No","No","No","Yes","No","No",25,"Master’s degree or higher","$40k - $70k","Health services","Male"
39,5,6,3,7,2,4,3,7,2,5,3,3,340,"iPhone","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No",35,"Undergraduate degree","$71k – $100k","Financial services","Female"
40,1,4,3,5,3,3,5,4,3,2,1,4,190,"iPhone","Yes","Yes","No","No","Yes","Yes","Yes","No","No",40,"Master’s degree or higher","$40k - $70k","Advertising/public relations","Female"
41,4,7,3,7,2,4,5,6,1,5,3,3,200,"iPhone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No",36,"Undergraduate degree","$101k - $175k","Financial services","Male"
42,2,3,4,2,3,2,3,1,4,2,3,3,220,"other smartphone","No","Yes","Yes","No","Yes","Yes","No","Yes","No",32,"Undergraduate degree","$71k – $100k","Technology","Female"
43,5,6,4,7,3,5,3,3,1,6,5,6,250,"iPhone","No","Yes","No","Yes","No","Yes","No","Yes","Yes",34,"Master’s degree or higher","$71k – $100k","Health services","Female"
44,7,7,3,5,2,4,4,4,1,6,4,4,210,"iPhone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",40,"Undergraduate degree","$71k – $100k","Financial services","Female"
45,4,7,3,7,5,5,5,4,1,7,3,6,200,"iPhone","No","Yes","No","No","No","Yes","No","Yes","Yes",35,"Master’s degree or higher","> $175k","Health services","Female"
46,5,5,6,5,3,3,4,3,6,4,4,5,180,"other smartphone","Yes","Yes","No","No","No","No","Yes","No","No",34,"Undergraduate degree","$71k – $100k","Advertising/public relations","Female"
47,5,5,4,5,7,6,4,2,1,5,5,4,210,"iPhone","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",33,"Undergraduate degree","$71k – $100k","Advertising/public relations","Female"
48,6,7,4,7,3,4,5,5,2,6,4,3,230,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",43,"Undergraduate degree","$101k - $175k","Financial services","Male"
49,3,1,4,1,7,2,3,1,5,2,3,4,150,"iPhone","No","Yes","No","No","Yes","Yes","Yes","No","No",41,"Undergraduate degree","$71k – $100k","Retailing/services/restaurant","Female"
50,3,5,5,4,1,3,6,2,3,5,5,4,120,"other smartphone","No","Yes","Yes","No","Yes","Yes","No","Yes","No",36,"Undergraduate degree","< $40k","Technology","Female"
51,7,6,3,7,1,4,4,5,1,5,2,3,180,"iPhone","Yes","No","No","No","No","Yes","Yes","Yes","No",38,"Master’s degree or higher","> $175k","Financial services","Male"
52,5,5,7,5,5,5,6,3,4,6,5,5,210,"other smartphone","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes",25,"Undergraduate degree","$40k - $70k","Advertising/public relations","Male"
53,4,5,4,7,6,7,3,6,3,5,6,4,150,"other smartphone","No","Yes","No","Yes","Yes","No","Yes","Yes","No",24,"Master’s degree or higher","$40k - $70k","Health services","Female"
54,4,7,1,5,2,3,6,4,1,1,1,3,230,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",40,"Master’s degree or higher","$71k – $100k","Financial services","Female"
55,2,6,3,3,7,5,6,3,2,6,3,4,140,"iPhone","No","No","No","No","Yes","No","Yes","No","No",42,"Undergraduate degree","$40k - $70k","Retailing/services/restaurant","Female"
56,6,6,4,5,7,5,6,3,1,6,4,7,140,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",34,"Master’s degree or higher","$40k - $70k","Financial services","Female"
57,5,6,7,1,4,4,6,4,1,7,5,6,240,"iPhone","No","Yes","No","Yes","No","Yes","No","Yes","Yes",31,"Master’s degree or higher","$101k - $175k","Health services","Female"
58,4,7,4,7,4,4,5,4,1,6,4,6,190,"iPhone","No","Yes","No","No","No","Yes","No","No","Yes",32,"Master’s degree or higher","> $175k","Health services","Female"
59,6,7,6,2,4,6,6,4,1,7,5,6,230,"iPhone","No","Yes","No","Yes","No","No","No","No","Yes",29,"Master’s degree or higher","> $175k","Health services","Female"
60,3,3,4,4,3,4,5,4,4,2,3,3,240,"other smartphone","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No",41,"Undergraduate degree","$101k - $175k","Sales","Female"
61,6,4,7,2,5,4,6,3,5,5,5,5,200,"other smartphone","No","Yes","Yes","No","No","Yes","Yes","Yes","No",29,"Undergraduate degree","$40k - $70k","Advertising/public relations","Female"
62,6,7,1,6,1,3,6,6,3,2,1,4,340,"iPhone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",42,"Master’s degree or higher","$71k – $100k","Financial services","Female"
63,6,6,4,6,3,4,6,4,3,4,4,3,380,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",39,"Undergraduate degree","$101k - $175k","Financial services","Male"
64,3,3,5,5,4,3,4,2,4,3,4,3,220,"other smartphone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No",36,"Undergraduate degree","$71k – $100k","Education","Female"
65,4,4,6,3,5,4,6,3,4,3,4,4,170,"other smartphone","No","No","No","No","Yes","No","Yes","No","No",34,"Undergraduate degree","$71k – $100k","Technology","Female"
66,5,7,7,7,4,6,5,4,1,6,5,7,270,"iPhone","Yes","Yes","No","No","No","Yes","No","No","Yes",35,"Master’s degree or higher","$101k - $175k","Health services","Female"
67,6,6,7,3,6,4,6,3,4,6,5,4,190,"other smartphone","No","Yes","Yes","No","No","Yes","Yes","Yes","No",30,"Undergraduate degree","$101k - $175k","Advertising/public relations","Female"
68,4,5,5,4,4,3,6,2,4,4,3,3,240,"other smartphone","Yes","No","No","No","Yes","No","Yes","No","No",40,"Master’s degree or higher","$71k – $100k","Engineering","Female"
69,2,3,5,5,4,4,5,3,4,1,2,4,170,"other smartphone","No","Yes","No","Yes","Yes","No","Yes","No","No",41,"Undergraduate degree","< $40k","Construction/transportation/manufacturing/logistics","Female"
70,7,7,3,4,2,5,5,7,2,5,3,3,310,"iPhone","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes",42,"Undergraduate degree","$71k – $100k","Financial services","Female"
71,4,2,4,1,3,4,2,5,6,3,4,3,240,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No",41,"Master’s degree or higher","$71k – $100k","Health services","Female"
72,3,6,5,5,4,2,5,1,3,4,4,4,180,"other smartphone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No",35,"Undergraduate degree","< $40k","Technology","Female"
73,7,7,6,5,4,5,5,4,2,7,5,7,290,"iPhone","No","Yes","No","Yes","No","Yes","No","Yes","Yes",34,"Undergraduate degree","> $175k","Health services","Female"
74,3,7,7,5,5,5,1,4,5,6,6,3,140,"iPhone","No","Yes","No","Yes","Yes","No","Yes","Yes","No",35,"Undergraduate degree","$101k - $175k","Technology","Female"
75,4,7,4,4,3,3,4,5,1,5,4,4,190,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",40,"Undergraduate degree","$71k – $100k","Financial services","Male"
76,5,5,6,5,5,3,4,2,4,5,4,5,220,"other smartphone","No","Yes","Yes","No","No","No","Yes","No","Yes",27,"Undergraduate degree","$71k – $100k","Advertising/public relations","Female"
77,5,6,6,7,4,6,2,3,4,6,6,6,180,"other smartphone","No","No","Yes","Yes","No","No","Yes","No","No",25,"Master’s degree or higher","$71k – $100k","Health services","Female"
78,4,4,5,3,4,4,1,4,5,3,3,3,170,"iPhone","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes",37,"Undergraduate degree","$71k – $100k","Education","Female"
79,3,4,5,5,4,4,5,3,3,2,2,3,200,"iPhone","No","Yes","No","No","Yes","No","Yes","No","Yes",40,"Undergraduate degree","$101k - $175k","Construction/transportation/manufacturing/logistics","Female"
80,3,5,4,5,5,6,2,4,2,5,7,4,160,"other smartphone","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No",24,"Master’s degree or higher","$71k – $100k","Health services","Female"
81,4,4,4,4,5,6,3,5,4,6,7,6,180,"other smartphone","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No",25,"Master’s degree or higher","$101k - $175k","Health services","Female"
82,5,3,6,2,5,3,4,2,6,5,5,5,220,"iPhone","No","Yes","Yes","No","No","No","Yes","No","No",25,"Undergraduate degree","$71k – $100k","Advertising/public relations","Female"
83,5,5,5,5,4,3,5,3,5,4,4,5,190,"other smartphone","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",33,"Undergraduate degree","$101k - $175k","Sales","Female"
84,3,7,7,6,5,7,7,4,2,7,5,7,240,"iPhone","No","Yes","No","No","Yes","Yes","No","Yes","Yes",27,"Undergraduate degree","$101k - $175k","Health services","Female"
85,4,4,6,4,5,4,2,1,3,4,4,4,140,"other smartphone","No","Yes","No","No","Yes","No","Yes","No","No",35,"Undergraduate degree","$101k - $175k","Technology","Female"
86,7,6,3,6,2,3,4,4,1,5,3,4,240,"iPhone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",40,"Undergraduate degree","$101k - $175k","Financial services","Female"
87,4,5,4,4,3,2,6,2,5,3,2,3,150,"other smartphone","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes",44,"Undergraduate degree","< $40k","Construction/transportation/manufacturing/logistics","Female"
88,3,4,1,3,4,5,3,1,2,4,4,4,240,"other smartphone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",43,"Undergraduate degree","< $40k","Financial services","Female"
89,1,3,6,3,3,1,3,4,4,1,1,4,120,"other smartphone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No",37,"Undergraduate degree","< $40k","Advertising/public relations","Female"
90,3,6,3,7,4,7,6,4,2,7,5,5,240,"iPhone","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes",35,"Undergraduate degree","$101k - $175k","Health services","Female"
91,5,6,3,6,3,7,6,4,4,7,5,7,300,"iPhone","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",34,"Undergraduate degree","$71k – $100k","Health services","Female"
92,4,3,4,2,4,2,6,1,4,4,4,3,230,"other smartphone","Yes","Yes","No","No","Yes","Yes","Yes","No","No",39,"Undergraduate degree","$71k – $100k","Financial services","Female"
93,1,4,5,4,3,5,3,4,5,7,5,5,160,"other smartphone","No","Yes","No","No","Yes","No","Yes","No","No",39,"Undergraduate degree","$101k - $175k","Other/family caretaker","Female"
94,4,6,4,7,2,2,5,4,5,5,3,6,170,"iPhone","No","Yes","Yes","No","Yes","No","Yes","No","Yes",42,"Undergraduate degree","$71k – $100k","Small-medium business/self-employed","Female"
95,5,7,3,7,2,5,6,4,6,6,3,5,190,"other smartphone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No",44,"Undergraduate degree","$71k – $100k","Health services","Male"
96,4,4,3,4,4,6,6,2,6,4,4,3,240,"other smartphone","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",39,"Undergraduate degree","$71k – $100k","Other/family caretaker","Male"
97,3,2,4,2,3,6,4,4,3,2,3,3,160,"iPhone","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",39,"Undergraduate degree","$40k - $70k","Retailing/services/restaurant","Female"
98,7,7,1,6,3,3,3,5,3,5,3,4,200,"other smartphone","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes",42,"Undergraduate degree","$71k – $100k","Financial services","Male"
99,5,5,5,5,2,3,6,2,3,2,1,4,120,"iPhone","No","Yes","No","No","Yes","No","Yes","No","No",39,"Undergraduate degree","$40k - $70k","Retailing/services/restaurant","Female"
100,7,6,7,6,2,1,6,5,3,4,3,3,240,"other smartphone","Yes","No","No","No","No","No","Yes","Yes","Yes",43,"Undergraduate degree","$71k – $100k","Financial services","Female"
101,3,5,1,4,2,5,5,4,3,1,1,3,170,"other smartphone","Yes","Yes","No","No","Yes","No","Yes","No","Yes",40,"Undergraduate degree","$40k - $70k","Sales","Female"
102,5,7,7,4,5,1,6,4,7,3,5,7,160,"iPhone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No",25,"Undergraduate degree","$101k - $175k","Other/family caretaker","Female"
103,5,4,6,2,6,4,6,1,6,6,4,5,200,"other smartphone","No","Yes","Yes","Yes","No","Yes","Yes","No","No",31,"Undergraduate degree","$40k - $70k","Financial services","Female"
104,3,3,3,4,3,3,6,4,3,2,2,4,210,"iPhone","Yes","Yes","No","No","Yes","Yes","Yes","No","No",40,"Undergraduate degree","$101k - $175k","Financial services","Female"
105,4,5,3,5,5,4,5,4,3,6,4,4,290,"iPhone","No","Yes","No","No","Yes","No","Yes","Yes","Yes",31,"Undergraduate degree","$71k – $100k","Health services","Female"
106,3,3,4,1,3,2,4,1,2,3,4,3,170,"iPhone","No","Yes","Yes","No","Yes","Yes","Yes","No","No",41,"Undergraduate degree","$101k - $175k","Retailing/services/restaurant","Male"
107,5,7,7,5,3,5,6,4,6,6,5,7,250,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",31,"Master’s degree or higher","$71k – $100k","Health services","Female"
108,3,4,3,4,3,2,6,4,5,7,6,4,280,"other smartphone","Yes","Yes","No","No","Yes","No","Yes","No","No",38,"Undergraduate degree","$71k – $100k","Health services","Female"
109,4,5,4,5,5,7,2,6,3,5,7,4,160,"other smartphone","No","No","No","Yes","No","Yes","Yes","No","No",27,"Master’s degree or higher","> $175k","Health services","Male"
110,5,5,3,5,3,2,6,2,2,4,2,3,180,"other smartphone","No","Yes","No","No","Yes","No","Yes","Yes","Yes",37,"Undergraduate degree","$101k - $175k","Education","Male"
111,3,4,6,4,4,6,5,5,3,5,7,4,210,"other smartphone","No","Yes","No","No","No","Yes","Yes","Yes","Yes",27,"Master’s degree or higher","$71k – $100k","Health services","Male"
112,6,6,3,6,3,4,6,4,2,4,4,3,370,"other smartphone","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",38,"Undergraduate degree","$101k - $175k","Financial services","Male"
113,3,6,7,7,5,6,6,5,1,7,5,6,280,"iPhone","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",34,"Master’s degree or higher","$101k - $175k","Health services","Female"
114,3,3,5,3,4,4,4,3,3,2,3,3,120,"iPhone","No","Yes","No","No","Yes","No","Yes","Yes","No",39,"Undergraduate degree","$71k – $100k","Retailing/services/restaurant","Female"
115,4,6,4,5,4,4,5,5,1,6,4,6,240,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",34,"Master’s degree or higher","> $175k","Health services","Female"
116,6,6,7,6,3,4,6,3,4,6,5,4,190,"other smartphone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No",25,"Undergraduate degree","$71k – $100k","Advertising/public relations","Female"
117,4,4,5,4,5,3,6,3,5,3,4,3,100,"other smartphone","No","Yes","No","No","Yes","No","Yes","Yes","Yes",38,"Undergraduate degree","$101k - $175k","Education","Female"
118,6,7,7,4,6,5,6,4,5,5,5,5,230,"iPhone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No",26,"Undergraduate degree","$101k - $175k","Advertising/public relations","Female"
119,4,5,4,5,2,2,5,1,1,3,2,4,140,"other smartphone","No","Yes","No","No","Yes","No","Yes","No","No",42,"Undergraduate degree","$40k - $70k","Construction/transportation/manufacturing/logistics","Male"
120,4,4,4,4,6,5,4,3,2,5,5,6,170,"iPhone","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",35,"Undergraduate degree","$101k - $175k","Other/family caretaker","Female"
121,4,4,3,4,3,5,5,7,4,6,5,4,180,"other smartphone","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",28,"Master’s degree or higher","> $175k","Health services","Male"
122,6,7,6,4,7,5,6,5,1,7,5,7,240,"iPhone","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",26,"Master’s degree or higher","$101k - $175k","Health services","Female"
123,3,6,7,7,1,6,6,4,2,5,4,5,190,"iPhone","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes",44,"Undergraduate degree","$40k - $70k","Engineering","Male"
124,4,3,4,3,1,5,4,7,4,6,5,4,210,"other smartphone","No","No","Yes","Yes","No","Yes","Yes","No","Yes",29,"Master’s degree or higher","$71k – $100k","Health services","Male"
125,3,6,7,6,4,7,6,5,2,7,5,7,220,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",37,"Master’s degree or higher","$101k - $175k","Health services","Female"
126,5,5,7,5,2,4,6,1,6,5,5,5,200,"iPhone","Yes","Yes","No","No","Yes","No","Yes","No","No",39,"Undergraduate degree","$40k - $70k","Small-medium business/self-employed","Female"
127,3,6,3,5,5,2,6,6,2,4,3,4,180,"iPhone","No","Yes","No","No","Yes","No","Yes","No","No",36,"Undergraduate degree","$40k - $70k","Technology","Female"
128,5,4,5,6,6,7,2,6,6,5,5,4,230,"iPhone","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes",28,"Master’s degree or higher","$101k - $175k","Health services","Female"
129,7,5,7,4,6,4,6,4,6,3,4,4,200,"iPhone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No",25,"Undergraduate degree","$71k – $100k","Advertising/public relations","Male"
130,4,4,3,3,4,3,6,2,3,2,3,4,180,"other smartphone","Yes","Yes","No","No","Yes","No","Yes","No","No",39,"Undergraduate degree","$40k - $70k","Technology","Female"
131,5,6,6,6,3,4,6,5,1,7,5,5,280,"iPhone","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",33,"Master’s degree or higher","$101k - $175k","Health services","Female"
132,5,5,7,4,6,4,6,2,2,6,5,5,200,"other smartphone","No","Yes","Yes","No","No","No","Yes","No","No",25,"Undergraduate degree","$40k - $70k","Advertising/public relations","Female"
133,4,4,4,4,3,4,5,3,3,6,5,4,190,"iPhone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",26,"Undergraduate degree","$101k - $175k","Health services","Female"
134,7,7,4,5,3,4,6,5,4,6,5,7,270,"iPhone","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",33,"Master’s degree or higher","$71k – $100k","Health services","Female"
135,2,4,1,3,1,2,3,1,3,1,1,3,230,"other smartphone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No",41,"Undergraduate degree","$40k - $70k","Sales","Female"
136,4,4,4,3,5,6,2,4,2,5,7,4,130,"other smartphone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",25,"Undergraduate degree","> $175k","Financial services","Female"
137,4,6,4,6,3,4,5,4,3,6,4,5,150,"other smartphone","No","Yes","Yes","No","Yes","Yes","No","Yes","No",38,"Undergraduate degree","$40k - $70k","Education","Female"
138,4,5,6,5,4,4,6,5,2,4,4,4,330,"iPhone","Yes","Yes","No","No","No","Yes","Yes","No","Yes",34,"Master’s degree or higher","> $175k","Financial services","Female"
139,4,7,3,7,2,4,6,6,2,5,2,3,190,"iPhone","Yes","No","Yes","Yes","No","No","Yes","Yes","No",40,"Undergraduate degree","$71k – $100k","Financial services","Female"
140,7,7,1,7,2,3,5,5,1,1,1,1,200,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No",43,"Master’s degree or higher","$71k – $100k","Financial services","Female"
141,5,5,7,5,5,4,6,3,7,5,5,5,180,"iPhone","Yes","Yes","Yes","No","No","No","Yes","No","No",31,"Undergraduate degree","$40k - $70k","Advertising/public relations","Male"
142,3,4,5,4,4,6,4,4,6,6,6,4,170,"other smartphone","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes",28,"Undergraduate degree","> $175k","Financial services","Male"
143,3,4,7,5,3,5,6,5,3,6,4,5,320,"iPhone","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes",34,"Master’s degree or higher","> $175k","Financial services","Female"
144,4,3,5,3,4,4,3,4,2,3,4,4,190,"iPhone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",42,"Master’s degree or higher","< $40k","Engineering","Female"
145,4,7,4,7,3,5,4,5,3,7,3,7,240,"iPhone","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes",37,"Master’s degree or higher","$71k – $100k","Financial services","Female"
146,4,5,3,4,4,6,3,7,5,5,7,4,250,"iPhone","Yes","Yes","No","No","Yes","Yes","No","No","Yes",28,"Master’s degree or higher","$71k – $100k","Financial services","Male"
